Adjusted_Signal_Range,Count,Percentage,Average_Future_Return_1,Average_Future_Return_2,Average_Future_Return_5,Average_Future_Return_8,Average_Future_Return_10,Frequency
-1.0 to -0.95,0,0.0,,,,,,Daily
-0.95 to -0.90,0,0.0,,,,,,Daily
-0.90 to -0.85,0,0.0,,,,,,Daily
-0.85 to -0.80,0,0.0,,,,,,Daily
-0.80 to -0.75,0,0.0,,,,,,Daily
-0.75 to -0.70,0,0.0,,,,,,Daily
-0.70 to -0.65,0,0.0,,,,,,Daily
-0.65 to -0.60,0,0.0,,,,,,Daily
-0.60 to -0.55,0,0.0,,,,,,Daily
-0.55 to -0.50,0,0.0,,,,,,Daily
-0.50 to -0.45,0,0.0,,,,,,Daily
-0.45 to -0.40,0,0.0,,,,,,Daily
-0.40 to -0.35,1,0.0019960478253058943,0.0,0.0,-0.01,0.0,0.0,Daily
-0.35 to -0.30,3,0.005988143475917683,-0.0984072495051736,-0.05299157970636406,-0.028407509139321867,-0.030807983926715136,-0.030807983926715136,Daily
-0.30 to -0.25,170,0.33932813030200204,0.0001781285602515909,-0.0017638785646928057,-0.0013133008720205828,-0.008384982454832322,-0.007969622470919084,Daily
-0.25 to -0.20,518,1.0339527735084533,0.006903095215360753,0.011534126790726944,0.007127974188193153,-0.0010570441507654078,-0.00545097035277619,Daily
-0.20 to -0.15,910,1.816403521028364,-0.001148262656138796,-0.0023745026292979294,-0.007298714021033569,-0.006049968301114846,-0.0007888821054024703,Daily
-0.15 to -0.10,1341,2.6767001337352045,-0.001214858823615085,0.00014897382681464065,0.0030329289515477163,-0.0005544177204460046,-0.0022600902835507586,Daily
-0.10 to -0.05,1746,3.4850995029840917,-0.0004802148403919438,-0.000273794324385219,0.00040741029355588823,0.006146976402411092,0.004472856607575773,Daily
-0.05 to 0.00,2519,5.028044471945547,0.0009585845713326326,0.0012729468359456723,0.002674531172768683,0.002618944967759431,0.004207734503682794,Daily
0.00 to 0.05,4438,8.858460248707559,0.00022487737321393904,0.0013144483717377699,0.0017355607713240224,0.003327070717324822,0.0041023005239059366,Daily
0.05 to 0.10,6220,12.415417473402663,3.633016470653502e-05,0.0007026453092852798,0.0019290118314549333,0.0017227222132379125,0.002466772183789053,Daily
0.10 to 0.15,7946,15.860596019880635,4.1853098078725995e-05,0.0017596295032800114,0.0027604949621987435,0.0034519738413955644,0.005517322325441616,Daily
0.15 to 0.20,8696,17.357631888860055,0.0006739133839209133,0.001106592588731043,0.0010059765719595591,0.0004407028531869433,0.002473029488215514,Daily
0.20 to 0.25,5468,10.914389508772631,0.0010669120188071268,0.0016604128239819879,0.0025636661935099733,0.002468007252087696,0.005858350427568621,Daily
0.25 to 0.30,3103,6.19373640192419,0.0022712493126316726,0.00409087271913937,0.004410728277575337,0.003941732134429311,0.006482209045053875,Daily
0.30 to 0.35,2364,4.718657059023134,0.0029067261023219596,0.006498560131477609,0.00731798083254449,0.0036069386623703145,0.005182173478554869,Daily
0.35 to 0.40,1882,3.756562007225693,0.0025994776870998694,0.0036011767488814037,-0.0013448446881705405,0.003460006668374742,0.0014514713759819578,Daily
0.40 to 0.45,1560,3.113834607477195,0.0004998072588402293,0.0027808532617791385,0.0010230873631010345,-0.003968924360748026,-0.006302587764534269,Daily
0.45 to 0.50,972,1.9401584861973293,-0.00018928465326273027,0.0010179683243725652,-0.00125428714485854,0.0006568801404492427,-0.0033983500325810265,Daily
0.50 to 0.55,238,0.4750593824228029,-0.003969718553361066,-0.005943471733490817,-0.003927839958926358,-0.013484877761024248,-0.004584319333443733,Daily
0.55 to 0.60,4,0.007984191301223577,-0.15079834042363627,-0.17319681696054695,-0.21769943476159406,-0.2852771813459011,-0.25013389005274345,Daily
0.60 to 0.65,0,0.0,,,,,,Daily
0.65 to 0.70,0,0.0,,,,,,Daily
0.70 to 0.75,0,0.0,,,,,,Daily
0.75 to 0.80,0,0.0,,,,,,Daily
0.80 to 0.85,0,0.0,,,,,,Daily
0.85 to 0.90,0,0.0,,,,,,Daily
0.90 to 0.95,0,0.0,,,,,,Daily
0.95 to 1.00,0,0.0,,,,,,Daily
-1.0 to -0.95,0,0.0,,,,,,15-Minute
-0.95 to -0.90,0,0.0,,,,,,15-Minute
-0.90 to -0.85,0,0.0,,,,,,15-Minute
-0.85 to -0.80,0,0.0,,,,,,15-Minute
-0.80 to -0.75,0,0.0,,,,,,15-Minute
-0.75 to -0.70,0,0.0,,,,,,15-Minute
-0.70 to -0.65,0,0.0,,,,,,15-Minute
-0.65 to -0.60,0,0.0,,,,,,15-Minute
-0.60 to -0.55,0,0.0,,,,,,15-Minute
-0.55 to -0.50,0,0.0,,,,,,15-Minute
-0.50 to -0.45,0,0.0,,,,,,15-Minute
-0.45 to -0.40,0,0.0,,,,,,15-Minute
-0.40 to -0.35,0,0.0,,,,,,15-Minute
-0.35 to -0.30,0,0.0,,,,,,15-Minute
-0.30 to -0.25,0,0.0,,,,,,15-Minute
-0.25 to -0.20,0,0.0,,,,,,15-Minute
-0.20 to -0.15,0,0.0,,,,,,15-Minute
-0.15 to -0.10,0,0.0,,,,,,15-Minute
-0.10 to -0.05,0,0.0,,,,,,15-Minute
-0.05 to 0.00,0,0.0,,,,,,15-Minute
0.00 to 0.05,0,0.0,,,,,,15-Minute
0.05 to 0.10,0,0.0,,,,,,15-Minute
0.10 to 0.15,0,0.0,,,,,,15-Minute
0.15 to 0.20,50457,100.0,9.513192478959705e-05,1.971834577450234e-05,-0.00016576436420544973,-0.00021793358186478066,-0.00022520635055384955,15-Minute
0.20 to 0.25,0,0.0,,,,,,15-Minute
0.25 to 0.30,0,0.0,,,,,,15-Minute
0.30 to 0.35,0,0.0,,,,,,15-Minute
0.35 to 0.40,0,0.0,,,,,,15-Minute
0.40 to 0.45,0,0.0,,,,,,15-Minute
0.45 to 0.50,0,0.0,,,,,,15-Minute
0.50 to 0.55,0,0.0,,,,,,15-Minute
0.55 to 0.60,0,0.0,,,,,,15-Minute
0.60 to 0.65,0,0.0,,,,,,15-Minute
0.65 to 0.70,0,0.0,,,,,,15-Minute
0.70 to 0.75,0,0.0,,,,,,15-Minute
0.75 to 0.80,0,0.0,,,,,,15-Minute
0.80 to 0.85,0,0.0,,,,,,15-Minute
0.85 to 0.90,0,0.0,,,,,,15-Minute
0.90 to 0.95,0,0.0,,,,,,15-Minute
0.95 to 1.00,0,0.0,,,,,,15-Minute
